Mnemonic  ,  Occurrences  ,  File Count
COMISD  ,  3876  ,  259
SETGE  ,  3697  ,  1989
OUTSD  ,  3694  ,  671
BSR  ,  3644  ,  485
PSHUFD  ,  3578  ,  291
POR  ,  3531  ,  274
CMOVNS  ,  3396  ,  518
FCHS  ,  3321  ,  257
FDIVRP  ,  3309  ,  493
FISTP  ,  3288  ,  687
PAND  ,  2938  ,  157
FDIVP  ,  2922  ,  308
MOVLPD  ,  2892  ,  184
PUNPCKLDQ  ,  2790  ,  110
INSB  ,  2781  ,  1311
AESENC  ,  2744  ,  17
VPADDQ  ,  2692  ,  69
OUTSB  ,  2685  ,  712
LFENCE  ,  2681  ,  121
SUBSS  ,  2642  ,  47
JNO  ,  2523  ,  1111
CMOVBE  ,  2494  ,  705
PSRLD  ,  2483  ,  45
PSRLDQ  ,  2444  ,  164
LOOP  ,  2404  ,  973
POPFQ  ,  2353  ,  719
CPUID  ,  2344  ,  658
VPADDD  ,  2320  ,  16
WAIT  ,  2292  ,  1331
BSF  ,  2281  ,  671
DIVSS  ,  2223  ,  222
CQO  ,  2216  ,  356
AESDEC  ,  2204  ,  24
SP  ,  2171  ,  239
CMOVGE  ,  2146  ,  594
SETNC  ,  2121  ,  637
VMULSD  ,  2075  ,  69
FCOMPP  ,  2064  ,  111
PSHUFB  ,  2025  ,  22
JMPF  ,  1899  ,  1158
SETS  ,  1892  ,  502
PMOVMSKB  ,  1860  ,  341
SETNS  ,  1839  ,  347
UCOMISS  ,  1811  ,  160
PSRLQ  ,  1781  ,  189
ADCX  ,  1764  ,  12
VMOVD  ,  1754  ,  69
COMISS  ,  1684  ,  126
PCMPEQB  ,  1668  ,  256
STOSQ  ,  1632  ,  260
PFMUL  ,  1632  ,  12
PSLLD  ,  1623  ,  43
RETF  ,  1619  ,  812
FNSTCW  ,  1582  ,  466
VPMULUDQ  ,  1552  ,  12
LODSB  ,  1549  ,  909
JRCXZ  ,  1523  ,  970
FDIVR  ,  1479  ,  384
VPSRLQ  ,  1471  ,  70
MULX  ,  1452  ,  12
CMPSD  ,  1416  ,  299
ADOX  ,  1392  ,  12
LAHF  ,  1379  ,  516
SAHF  ,  1369  ,  460
SETBE  ,  1355  ,  544
VPSRLD  ,  1352  ,  15
PADDW  ,  1348  ,  6
VPADDW  ,  1344  ,  4
FSTSW  ,  1290  ,  368
RORX  ,  1280  ,  4
FNINIT  ,  1267  ,  1262
MULPD  ,  1247  ,  89
VPAND  ,  1233  ,  70
SETLE  ,  1208  ,  376
VADDSD  ,  1208  ,  69
VMOVSD  ,  1200  ,  69
PSLLDQ  ,  1190  ,  22
BTC  ,  1124  ,  171
XLAT  ,  1118  ,  476
STMXCSR  ,  1104  ,  287
CLI  ,  1099  ,  739
VAESENC  ,  1080  ,  12
UNPCKLPS  ,  1059  ,  102
VPOR  ,  1018  ,  70
ANDPD  ,  990  ,  152
VPSHUFB  ,  977  ,  14
STI  ,  953  ,  522
PSLLQ  ,  941  ,  125
LDMXCSR  ,  937  ,  230
PUNPCKLWD  ,  932  ,  31
CWD  ,  924  ,  54
LOOPZ  ,  907  ,  678
PMADDWD  ,  906  ,  9
VPMADDWD  ,  896  ,  4
FUCOM  ,  887  ,  100
VSUBSD  ,  887  ,  69
PUNPCKLBW  ,  874  ,  42
PCMPEQD  ,  874  ,  32
VMOVQ  ,  856  ,  78
FISTTP  ,  840  ,  327
MULPS  ,  822  ,  15
UNPCKLPD  ,  820  ,  148
PUNPCKHWD  ,  786  ,  16
LODSD  ,  764  ,  359
IRETD  ,  763  ,  433
RDTSC  ,  738  ,  144
PCMPISTRI  ,  729  ,  284
PFADD  ,  708  ,  12
VPALIGNR  ,  704  ,  13
PUNPCKHDQ  ,  689  ,  21
PCMPEQW  ,  687  ,  198
MOVSW  ,  682  ,  288
MOVNTPS  ,  661  ,  72
CMPSW  ,  659  ,  115
VPUNPCKLBW  ,  656  ,  4
PEXTRW  ,  655  ,  44
VPUNPCKLWD  ,  648  ,  4
VPUNPCKHWD  ,  648  ,  4
VPCLMULLQLQDQ  ,  624  ,  12
ADDPD  ,  623  ,  87
PADDQ  ,  620  ,  76
FUCOMP  ,  610  ,  98
VPSHUFD  ,  607  ,  59
SHUFPS  ,  602  ,  27
VPSLLQ  ,  600  ,  69
VMOVAPD  ,  577  ,  70
AESENCLAST  ,  573  ,  12
FSQRT  ,  555  ,  35
PSHUFLW  ,  547  ,  313
FXAM  ,  543  ,  187
VZEROUPPER  ,  542  ,  98
PUNPCKHBW  ,  539  ,  10
FNCLEX  ,  536  ,  199
MOVSQ  ,  529  ,  154
VPUNPCKHBW  ,  528  ,  4
CBW  ,  526  ,  124
FABS  ,  524  ,  89
ORPD  ,  518  ,  75
FISUB  ,  487  ,  76
ADDPS  ,  483  ,  15
PSUBQ  ,  474  ,  153
CALLF  ,  468  ,  360
PUNPCKLQDQ  ,  468  ,  55
FFREE  ,  467  ,  146
FSTCW  ,  454  ,  186
VPSLLD  ,  450  ,  15
VPBLENDD  ,  448  ,  12
VPERMQ  ,  444  ,  12
VPSRLDQ  ,  441  ,  14
AESDECLAST  ,  436  ,  24
VPSLLDQ  ,  420  ,  13
VPCLMULHQHQDQ  ,  416  ,  12
FIADD  ,  411  ,  206
VMOVUPS  ,  411  ,  15
XGETBV  ,  404  ,  348
PSUBD  ,  403  ,  146
VPUNPCKHQDQ  ,  389  ,  13
PANDN  ,  382  ,  60
SETNP  ,  382  ,  117
PACKUSWB  ,  381  ,  12
VCOMISD  ,  378  ,  69
AESKEYGENASSIST  ,  375  ,  13
VMOVAPS  ,  372  ,  14
SETP  ,  358  ,  64
PACKSSDW  ,  357  ,  16
PSRAD  ,  344  ,  71
SETNO  ,  342  ,  49
VPACKSSDW  ,  336  ,  4
VPACKUSWB  ,  336  ,  4
PAUSE  ,  331  ,  78
SUBPD  ,  330  ,  86
FIMUL  ,  322  ,  124
MOVNTDQ  ,  308  ,  18
VLDMXCSR  ,  300  ,  50
PCLMULLQLQDQ  ,  300  ,  12
MOVLPS  ,  297  ,  12
PSRAW  ,  296  ,  22
PSRLW  ,  284  ,  11
VPSRAD  ,  275  ,  51
VPCLMULLQHQDQ  ,  272  ,  12
FRNDINT  ,  269  ,  184
VPSRLW  ,  260  ,  4
VPBROADCASTQ  ,  252  ,  12
MOVLHPS  ,  251  ,  196
VPCMPEQW  ,  248  ,  95
VPUNPCKLDQ  ,  243  ,  51
ANDPS  ,  242  ,  35
PINSRW  ,  238  ,  53
SQRTSD  ,  238  ,  72
VMOVNTDQ  ,  236  ,  7
PREFETCHW  ,  234  ,  33
SFENCE  ,  232  ,  87
FIDIV  ,  229  ,  82
PMULHW  ,  225  ,  5
VPMULHW  ,  224  ,  4
